GRB,Tstart,E051
050315,138.141837167,0.02896644883
050318,21.5085024693,0.0326595699582
050401,16.5552366419,0.700186885412
050505,23.888527738,0.141670422051
050730,50.5409744771,4.92375142166
050904,86.5510760604,0.889419471196
060115,271.582510113,39.4080383063
060418,145.814479827,35.9269729517
060512,31.5237813212,9.80424173658
060522,145.867583983,4.11312298652
060604,98.6625148832,0.317218709248
060707,271.39152023,7.31914977405
060926,23.8095238095,0.234173581866
060927,4.25692226173,2.02824774777
070110,98.8451108903,1.18656241782
070518,902.705833221,4611.20358962
070802,135.575403272,1599.64854142
071020,982.29352591,2.67220927767
080411,49.2610837438,2.99124785082
080607,108.048473327,19.3223997326
080710,54.2005420054,0.0438063618953
080721,31.8931561527,3.88466325414
080810,123.455585372,2.05974165032
080928,234.556633636,0.324155512344
081008,267.721009344,0.45919747129
090102,8.20296871164,3.33143791898
090423,67.0211958545,1.18535987509
090519,98.6866169737,0.392860268799
090529,759.787228507,0.43044136741
090812,219.750166579,60.0905971294
090927,1334.29437138,0.360557468343
091020,59.8453910465,26.0173118974
051016B,112.980872958,336.916464121
051109A,164.042051898,15.0106698088
060223A,9.92665057986,0.0574290078098
061110A,1567.57467464,2684.76350444
070721B,76.699824737,4.72185832842
080319C,9.7763779767,1.18955328444
080603B,42.951035026,163.701699951
081203A,75.6202843652,32.3833694662
090429B,13.5820917752,1.4760169021
090516A,159.097771807,1.28627033862
091109A,87.049408546,113.935263007
091208B,62.4454460346,1.56542001605
050315,138.141837167,0.0289664051062
050318,21.5085024693,0.0326598556504
050401,16.5552366419,1.00513120839
050505,23.888527738,0.141688848031
050730,50.5409744771,5.78981325817
050904,86.5510760604,1.09326457124
060115,271.582510113,39.4085912594
060418,145.814479827,35.92697307
060512,31.5237813212,36893.8757111
060522,145.867583983,4.11313945942
060604,98.6625148832,0.3172186327
060707,271.39152023,7.31920867711
060926,23.8095238095,0.234208972641
060927,4.25692226173,2.02825566565
070110,98.8451108903,1.18656624594
070518,902.705833221,7080.96526311
070802,135.575403272,2470.06673993
071020,982.29352591,4.59060951198
080411,49.2610837438,7.70325519148
080607,108.048473327,43.0729387689
080710,54.2005420054,0.0438058478621
080721,31.8931561527,8.17578014988
080810,123.455585372,2.05973368907
