GRB,Tstart,E051,chisq,dof,P-value
060605,41.5679648952,0.420335239251,68.44348,74.00000,0.66039
060714,123.204363778,8.56922512176,34.87446,44.00000,0.83574
060814,265.656097409,5.27242023581,191.13964,169.00000,0.11678
060906,70.6036506359,0.0447269595676,29.88020,35.00000,0.71356
060908,4.89852110079,1.2072465211,21.53246,31.00000,0.89715
061121,111.080198045,3.66419332566,211.31723,254.00000,0.97624
070306,210.259399139,0.125361248993,264.45973,142.00000,0.00000
070318,3682.36914702,33.7985088369,100.57935,62.00000,0.00141
070508,45.7013061045,9.12156866827,501.55554,483.00000,0.27063
070521,47.7454661405,0.4217157249,52.15296,80.00000,0.99327
070529,57.0074947134,38.7256851468,11.44376,31.00000,0.99947
080310,350.514412425,0.395448846602,63.68773,67.00000,0.59217
080430,230.549110246,-0.0260461848845,127.96689,142.00000,0.79444
081029,20.6274881908,0.0683286071643,124.37326,81.00000,0.00140
081221,71.9088593656,555.611444706,339.26293,269.00000,0.00234
090205,73.7821917647,0.109959651781,16.54758,31.00000,0.98419
091029,153.368853235,2.03320945394,135.26730,130.00000,0.35809
060607A,125.639731502,1.89735896528,14393.42790,170.00000,0.00000
061222A,74.1861286518,1.32700753002,2230.13812,335.00000,0.00000
081028A,1425.06175665,2.24663358316,742.43010,168.00000,0.00000
090418A,45.0497528734,0.883624912216,36.64542,111.00000,1.00000
100219A,106.333419111,1.85611074223,142.72647,26.00000,0.00000
100906A,133.141934276,0.442117487798,245.14255,126.00000,0.00000
110213A,69.0342948155,0.723500479097,345.03123,227.00000,0.00000
110422A,36.1010830325,6.09784007708,168.81372,267.00000,1.00000
111008A,52.7943781123,1.27457520352,701.33939,137.00000,0.00000
120118B,80.1997884902,0.0930027422779,10.07436,34.00000,0.99998
120327A,52.3278865714,11.7445007405,65.44514,59.00000,0.26308
120404A,138.553095039,1.43356967747,19.39349,36.00000,0.98920
120521C,124.423369994,0.245146708993,0.55207,6.00000,0.99715
120811C,71.6499044374,40.720762759,23.45467,46.00000,0.99769
120907A,50.7614213198,7.93797435894,64.89993,87.00000,0.96337
120922A,198.251345406,118.908303758,13.74087,70.00000,1.00000
121128A,47.2987890136,4.22072853608,50.98867,90.00000,0.99970
131105A,141.544823649,2.77797755038,17.26295,50.00000,1.00000
131117A,78.9581853537,8544.04494585,0.24079,11.00000,1.00000
140206A,134.36655057,20.128088531,22750.99326,442.00000,0.00000
140506A,334.016593161,68.0587444362,154.17183,145.00000,0.28550
140512A,205.688921295,13.6139453095,395.13372,363.00000,0.11827
